nameStd,icd10
Unspecified psychosis not due to a substance or known physiological condition,F29
Manic episode,F30
"Manic episode, unspecified",F30.9
Bipolar disorder,F31
"Bipolar disorder, current episode mixed",F31.6
"Major depressive disorder, single episode",F32
"Major depressive disorder, recurrent",F33
Persistent mood [affective] disorders,F34
Unspecified mood [affective] disorder,F39
Phobic anxiety disorders,F40
Other anxiety disorders,F41
Panic disorder [episodic paroxysmal anxiety] without agoraphobia,F41.0
Generalized anxiety disorder,F41.1
Other mixed anxiety disorders,F41.3
Other specified anxiety disorders,F41.8
"Anxiety disorder, unspecified",F41.9
Obsessive-compulsive disorder,F42
Mixed obsessional thoughts and acts,F42.2
"Reaction to severe stress, and adjustment disorders",F43
"Reaction to severe stress, unspecified",F43.9
Dissociative and conversion disorders,F44
"Dissociative and conversion disorder, unspecified",F44.9
Somatoform disorders,F45
Other nonpsychotic mental disorders,F48
Depersonalization-derealization syndrome,F48.1
Pseudobulbar affect,F48.2
Other specified nonpsychotic mental disorders,F48.8
"Nonpsychotic mental disorder, unspecified",F48.9
Eating disorders,F50
Anorexia nervosa,F50.0
Bulimia,F50.2
Sleep disorders not due to a substance or known physiological condition,F51
Nightmare disorder,F51.5
Sexual dysfunction not due to a substance or known physiological condition,F52
Puerperal psychosis,F53
Psychological and behavioral factors associated with disorders or diseases classified elsewhere,F54
Abuse of non-psychoactive substances,F55
Unspecified behavioral syndromes associated with physiological disturbances and physical factors,F59
Specific personality disorders,F60
Impulse disorders,F63
Gender identity disorders,F64
Paraphilias,F65
Other sexual disorders,F66
Other disorders of adult personality and behavior,F68
Factitious disorder,F68.1
Other specified disorders of adult personality and behavior,F68.8
Unspecified disorder of adult personality and behavior,F69
Mild intellectual disabilities,F70
Moderate intellectual disabilities,F71
Severe intellectual disabilities,F72
Profound intellectual disabilities,F73
Other intellectual disabilities,F78
Unspecified intellectual disabilities,F79
Specific developmental disorders of speech and language,F80
Specific developmental disorders of scholastic skills,F81
Specific developmental disorder of motor function,F82
Pervasive developmental disorders,F84
Other disorders of psychological development,F88
Unspecified disorder of psychological development,F89
Attention-deficit hyperactivity disorders,F90
Conduct disorders,F91
Emotional disorders with onset specific to childhood,F93
Disorders of social functioning with onset specific to childhood and adolescence,F94
Tic disorder,F95
Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence,F98
Encopresis not due to a substance or known physiological condition,F98.1
Other feeding disorders of infancy and childhood,F98.2
Pica of infancy and childhood,F98.3
Stereotyped movement disorders,F98.4
Adult onset fluency disorder,F98.5
Other specified behavioral and emotional disorders with onset usually occurring in childhood and adolescence,F98.8
Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence,F98.9
"Mental disorder, not otherwise specified",F99
"Bacterial meningitis, not elsewhere classified",G00
Meningitis in bacterial diseases classified elsewhere,G01
Meningitis in other infectious and parasitic diseases classified elsewhere,G02
Meningitis due to other and unspecified causes,G03
Chronic meningitis,G03.1
Benign recurrent meningitis [Mollaret],G03.2
Meningitis due to other specified causes,G03.8
"Meningitis, unspecified",G03.9
"Encephalitis, myelitis and encephalomyelitis",G04
"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",G05
Intracranial and intraspinal abscess and granuloma,G06
Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,G07
Intracranial and intraspinal phlebitis and thrombophlebitis,G08
Sequelae of inflammatory diseases of central nervous system,G09
Huntington's disease,G10
Hereditary ataxia,G11
Spinal muscular atrophy and related syndromes,G12
Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,G13
Postpolio syndrome,G14
Parkinson's disease,G20
Secondary parkinsonism,G21
Other degenerative diseases of basal ganglia,G23
Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],G23.1
Striatonigral degeneration,G23.2
Other specified degenerative diseases of basal ganglia,G23.8
"Degenerative disease of basal ganglia, unspecified",G23.9
Dystonia,G24
Other extrapyramidal and movement disorders,G25
Drug-induced tremor,G25.1
Other specified forms of tremor,G25.2
Myoclonus,G25.3
Drug-induced chorea,G25.4
Other chorea,G25.5
Drug induced tics and other tics of organic origin,G25.6
Other and unspecified drug induced movement disorders,G25.7
Other specified extrapyramidal and movement disorders,G25.8
"Extrapyramidal and movement disorder, unspecified",G25.9
Extrapyramidal and movement disorders in diseases classified elsewhere,G26
Alzheimer's disease,G30
"Other degenerative diseases of nervous system, not elsewhere classified",G31
"Senile degeneration of brain, not elsewhere classified",G31.1
Degeneration of nervous system due to alcohol,G31.2
Other specified degenerative diseases of nervous system,G31.8
"Degenerative disease of nervous system, unspecified",G31.9
Other degenerative disorders of nervous system in diseases classified elsewhere,G32
Other specified degenerative disorders of nervous system in diseases classified elsewhere,G32.8
Multiple sclerosis,G35
Other acute disseminated demyelination,G36
Acute and subacute hemorrhagic leukoencephalitis [Hurst],G36.1
Other specified acute disseminated demyelination,G36.8
"Acute disseminated demyelination, unspecified",G36.9
Other demyelinating diseases of central nervous system,G37
Central demyelination of corpus callosum,G37.1
Central pontine myelinolysis,G37.2
Acute transverse myelitis in demyelinating disease of central nervous system,G37.3
Subacute necrotizing myelitis of central nervous system,G37.4
Concentric sclerosis [Balo] of central nervous system,G37.5
Other specified demyelinating diseases of central nervous system,G37.8
"Demyelinating disease of central nervous system, unspecified",G37.9
Epilepsy and recurrent seizures,G40
Migraine,G43
Other headache syndromes,G44
"Vascular headache, not elsewhere classified",G44.1
Tension-type headache,G44.2
Post-traumatic headache,G44.3
"Drug-induced headache, not elsewhere classified",G44.4
Complicated headache syndromes,G44.5
Other specified headache syndromes,G44.8
Transient cerebral ischemic attacks and related syndromes,G45
Transient global amnesia,G45.4
"Transient cerebral ischemic attack, unspecified",G45.9
Vascular syndromes of brain in cerebrovascular diseases,G46
Sleep disorders,G47
Sleep apnea,G47.3
"Sleep disorder, unspecified",G47.9
Disorders of trigeminal nerve,G50
Facial nerve disorders,G51
Disorders of other cranial nerves,G52
Disorders of glossopharyngeal nerve,G52.1
Disorders of vagus nerve,G52.2
Disorders of hypoglossal nerve,G52.3
Disorders of multiple cranial nerves,G52.7
Disorders of other specified cranial nerves,G52.8
"Cranial nerve disorder, unspecified",G52.9
Cranial nerve disorders in diseases classified elsewhere,G53
Nerve root and plexus disorders,G54
Nerve root and plexus compressions in diseases classified elsewhere,G55
Mononeuropathies of upper limb,G56
Mononeuropathies of lower limb,G57
Other mononeuropathies,G58
Mononeuritis multiplex,G58.7
Other specified mononeuropathies,G58.8
"Mononeuropathy, unspecified",G58.9
Mononeuropathy in diseases classified elsewhere,G59
Hereditary and idiopathic neuropathy,G60
Inflammatory polyneuropathy,G61
Other and unspecified polyneuropathies,G62
Alcoholic polyneuropathy,G62.1
Polyneuropathy due to other toxic agents,G62.2
Other specified polyneuropathies,G62.8
"Polyneuropathy, unspecified",G62.9
Polyneuropathy in diseases classified elsewhere,G63
Other disorders of peripheral nervous system,G64
Myasthenia gravis and other myoneural disorders,G70
Toxic myoneural disorders,G70.1
Congenital and developmental myasthenia,G70.2
Other specified myoneural disorders,G70.8
"Myoneural disorder, unspecified",G70.9
Primary disorders of muscles,G71
Other and unspecified myopathies,G72
Alcoholic myopathy,G72.1
Myopathy due to other toxic agents,G72.2
Periodic paralysis,G72.3
"Inflammatory and immune myopathies, not elsewhere classified",G72.4
Other specified myopathies,G72.8
"Myopathy, unspecified",G72.9
Disorders of myoneural junction and muscle in diseases classified elsewhere,G73
Cerebral palsy,G80
Hemiplegia and hemiparesis,G81
Paraplegia (paraparesis) and quadriplegia (quadriparesis),G82
Other paralytic syndromes,G83
Monoplegia of lower limb,G83.1
Monoplegia of upper limb,G83.2
"Monoplegia, unspecified",G83.3
Cauda equina syndrome,G83.4
Locked-in state,G83.5
Other specified paralytic syndromes,G83.8
"Paralytic syndrome, unspecified",G83.9
Disorders of autonomic nervous system,G90
Hydrocephalus,G91
Toxic encephalopathy,G92
Other disorders of brain,G93
"Anoxic brain damage, not elsewhere classified",G93.1
Benign intracranial hypertension,G93.2
Postviral fatigue syndrome,G93.3
Other and unspecified encephalopathy,G93.4
Compression of brain,G93.5
Cerebral edema,G93.6
Reye's syndrome,G93.7
Other specified disorders of brain,G93.8
"Disorder of brain, unspecified",G93.9
Other disorders of brain in diseases classified elsewhere,G94
Other and unspecified diseases of spinal cord,G95
Vascular myelopathies,G95.1
Other and unspecified cord compression,G95.2
Other specified diseases of spinal cord,G95.8
"Disease of spinal cord, unspecified",G95.9
Other disorders of central nervous system,G96
"Disorders of meninges, not elsewhere classified",G96.1
Other specified disorders of central nervous system,G96.8
"Disorder of central nervous system, unspecified",G96.9
"Intraoperative and postprocedural complications and disorders of nervous system, not elsewhere classified",G97
Other disorders of nervous system not elsewhere classified,G98
Other disorders of nervous system,G98.8
Other disorders of nervous system in diseases classified elsewhere,G99
Myelopathy in diseases classified elsewhere,G99.2
Other specified disorders of nervous system in diseases classified elsewhere,G99.8
Hordeolum and chalazion,H00
Other inflammation of eyelid,H01
Noninfectious dermatoses of eyelid,H01.1
Other specified inflammations of eyelid,H01.8
Unspecified inflammation of eyelid,H01.9
Other disorders of eyelid,H02
Ectropion of eyelid,H02.1
Lagophthalmos,H02.2
Blepharochalasis,H02.3
Ptosis of eyelid,H02.4
Other disorders affecting eyelid function,H02.5
Xanthelasma of eyelid,H02.6
Other and unspecified degenerative disorders of eyelid and periocular area,H02.7
Other specified disorders of eyelid,H02.8
Unspecified disorder of eyelid,H02.9
Disorders of lacrimal system,H04
Disorders of orbit,H05
Conjunctivitis,H10
Mucopurulent conjunctivitis,H10.0
Other disorders of conjunctiva,H11
Conjunctival degenerations and deposits,H11.1
Conjunctival scars,H11.2
Conjunctival hemorrhage,H11.3
Other conjunctival vascular disorders and cysts,H11.4
Other specified disorders of conjunctiva,H11.8
Unspecified disorder of conjunctiva,H11.9
Disorders of sclera,H15
Keratitis,H16
Corneal scars and opacities,H17
Other disorders of cornea,H18
Bullous keratopathy,H18.1
Other and unspecified corneal edema,H18.2
Changes of corneal membranes,H18.3
Corneal degeneration,H18.4
Hereditary corneal dystrophies,H18.5
Keratoconus,H18.6
Other and unspecified corneal deformities,H18.7
Other specified disorders of cornea,H18.8
Unspecified disorder of cornea,H18.9
Iridocyclitis,H20
Other disorders of iris and ciliary body,H21
Other vascular disorders of iris and ciliary body,H21.1
Degeneration of iris and ciliary body,H21.2
"Cyst of iris, ciliary body and anterior chamber",H21.3
Pupillary membranes,H21.4
Other and unspecified adhesions and disruptions of iris and ciliary body,H21.5
Other specified disorders of iris and ciliary body,H21.8
Unspecified disorder of iris and ciliary body,H21.9
Disorders of iris and ciliary body in diseases classified elsewhere,H22
Age-related cataract,H25
Other cataract,H26
Traumatic cataract,H26.1
Complicated cataract,H26.2
Drug-induced cataract,H26.3
Secondary cataract,H26.4
Other specified cataract,H26.8
Unspecified cataract,H26.9
Other disorders of lens,H27
Dislocation of lens,H27.1
Other specified disorders of lens,H27.8
Unspecified disorder of lens,H27.9
Cataract in diseases classified elsewhere,H28
Chorioretinal inflammation,H30
Other disorders of choroid,H31
Choroidal degeneration,H31.1
Hereditary choroidal dystrophy,H31.2
Choroidal hemorrhage and rupture,H31.3
Choroidal detachment,H31.4
Other specified disorders of choroid,H31.8
Unspecified disorder of choroid,H31.9
Chorioretinal disorders in diseases classified elsewhere,H32
Retinal detachments and breaks,H33
Retinal vascular occlusions,H34
Other retinal disorders,H35
Retinopathy of prematurity,H35.1
Other non-diabetic proliferative retinopathy,H35.2
Degeneration of macula and posterior pole,H35.3
Peripheral retinal degeneration,H35.4
Hereditary retinal dystrophy,H35.5
Retinal hemorrhage,H35.6
Separation of retinal layers,H35.7
Other specified retinal disorders,H35.8
Unspecified retinal disorder,H35.9
Retinal disorders in diseases classified elsewhere,H36
Glaucoma,H40
Glaucoma in diseases classified elsewhere,H42
Disorders of vitreous body,H43
Disorders of globe,H44
Optic neuritis,H46
Other disorders of optic [2nd] nerve and visual pathways,H47
Papilledema,H47.1
Optic atrophy,H47.2
Other disorders of optic disc,H47.3
Disorders of optic chiasm,H47.4
Disorders of other visual pathways,H47.5
Disorders of visual cortex,H47.6
Unspecified disorder of visual pathways,H47.9
Paralytic strabismus,H49
Other strabismus,H50
Exotropia,H50.1
Vertical strabismus,H50.2
Intermittent heterotropia,H50.3
Other and unspecified heterotropia,H50.4
Heterophoria,H50.5
Mechanical strabismus,H50.6
Other specified strabismus,H50.8
Unspecified strabismus,H50.9
Other disorders of binocular movement,H51
Convergence insufficiency and excess,H51.1
Internuclear ophthalmoplegia,H51.2
Other specified disorders of binocular movement,H51.8
Unspecified disorder of binocular movement,H51.9
Disorders of refraction and accommodation,H52
Visual disturbances,H53
Blindness and low vision,H54
Nystagmus and other irregular eye movements,H55
Other irregular eye movements,H55.8
Other disorders of eye and adnexa,H57
Ocular pain,H57.1
Other specified disorders of eye and adnexa,H57.8
Unspecified disorder of eye and adnexa,H57.9
"Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified",H59
Otitis externa,H60
Other disorders of external ear,H61
Noninfective disorders of pinna,H61.1
Impacted cerumen,H61.2
Acquired stenosis of external ear canal,H61.3
Other specified disorders of external ear,H61.8
"Disorder of external ear, unspecified",H61.9
Disorders of external ear in diseases classified elsewhere,H62
Nonsuppurative otitis media,H65
Suppurative and unspecified otitis media,H66
Otitis media in diseases classified elsewhere,H67
Eustachian salpingitis and obstruction,H68
Other and unspecified disorders of Eustachian tube,H69
Other specified disorders of Eustachian tube,H69.8
Unspecified Eustachian tube disorder,H69.9
Mastoiditis and related conditions,H70
Unspecified mastoiditis,H70.9
Cholesteatoma of middle ear,H71
Perforation of tympanic membrane,H72
Other disorders of tympanic membrane,H73
Chronic myringitis,H73.1
Unspecified myringitis,H73.2
Other specified disorders of tympanic membrane,H73.8
Unspecified disorder of tympanic membrane,H73.9
Other disorders of middle ear mastoid,H74
Adhesive middle ear disease,H74.1
Discontinuity and dislocation of ear ossicles,H74.2
Other acquired abnormalities of ear ossicles,H74.3
Polyp of middle ear,H74.4
Other specified disorders of middle ear and mastoid,H74.8
Unspecified disorder of middle ear and mastoid,H74.9
Other disorders of middle ear and mastoid in diseases classified elsewhere,H75
Other specified disorders of middle ear and mastoid in diseases classified elsewhere,H75.8
Otosclerosis,H80
Disorders of vestibular function,H81
Vertiginous syndromes in diseases classified elsewhere,H82
Other diseases of inner ear,H83
Labyrinthine fistula,H83.1
Labyrinthine dysfunction,H83.2
Noise effects on inner ear,H83.3
Other specified diseases of inner ear,H83.8
Unspecified disease of inner ear,H83.9
Conductive and sensorineural hearing loss,H90
Other and unspecified hearing loss,H91
Presbycusis,H91.1
Sudden idiopathic hearing loss,H91.2
"Deaf nonspeaking, not elsewhere classified",H91.3
Other specified hearing loss,H91.8
Unspecified hearing loss,H91.9
Otalgia and effusion of ear,H92
Otorrhea,H92.1
Otorrhagia,H92.2
"Other disorders of ear, not elsewhere classified",H93
Tinnitus,H93.1
Other abnormal auditory perceptions,H93.2
Disorders of acoustic nerve,H93.3
Other specified disorders of ear,H93.8
Unspecified disorder of ear,H93.9
Other disorders of ear in diseases classified elsewhere,H94
Other specified disorders of ear in diseases classified elsewhere,H94.8
"Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified",H95
Rheumatic fever without heart involvement,I00
Rheumatic fever with heart involvement,I01
Rheumatic chorea,I02
Rheumatic mitral valve diseases,I05
Rheumatic aortic valve diseases,I06
Rheumatic tricuspid valve diseases,I07
Multiple valve diseases,I08
Other rheumatic heart diseases,I09
"Rheumatic diseases of endocardium, valve unspecified",I09.1
Chronic rheumatic pericarditis,I09.2
Other specified rheumatic heart diseases,I09.8
"Rheumatic heart disease, unspecified",I09.9
Essential (primary) hypertension,I10
Hypertensive heart disease,I11
Hypertensive chronic kidney disease,I12
Hypertensive heart and chronic kidney disease,I13
Secondary hypertension,I15
Angina pectoris,I20
ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction,I21
ST elevation (STEMI) myocardial infarction of unspecified site,I21.3
Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction,I22
Certain current complications following ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (within the 28 day period),I23
Other acute ischemic heart diseases,I24
Dressler's syndrome,I24.1
Other forms of acute ischemic heart disease,I24.8
"Acute ischemic heart disease, unspecified",I24.9
Chronic ischemic heart disease,I25
Pulmonary embolism,I26
Other pulmonary heart diseases,I27
Kyphoscoliotic heart disease,I27.1
Other secondary pulmonary hypertension,I27.2
Other specified pulmonary heart diseases,I27.8
"Pulmonary heart disease, unspecified",I27.9
Other diseases of pulmonary vessels,I28
Aneurysm of pulmonary artery,I28.1
Other diseases of pulmonary vessels,I28.8
"Disease of pulmonary vessels, unspecified",I28.9
Acute pericarditis,I30
Other diseases of pericardium,I31
Chronic constrictive pericarditis,I31.1
"Hemopericardium, not elsewhere classified",I31.2
Pericardial effusion (noninflammatory),I31.3
Cardiac tamponade,I31.4
Other specified diseases of pericardium,I31.8
"Disease of pericardium, unspecified",I31.9
Pericarditis in diseases classified elsewhere,I32
Acute and subacute endocarditis,I33
Nonrheumatic mitral valve disorders,I34
Nonrheumatic aortic valve disorders,I35
Nonrheumatic tricuspid valve disorders,I36
Nonrheumatic pulmonary valve disorders,I37
"Endocarditis, valve unspecified",I38
Endocarditis and heart valve disorders in diseases classified elsewhere,I39
Acute myocarditis,I40
Myocarditis in diseases classified elsewhere,I41
Cardiomyopathy,I42
Cardiomyopathy in diseases classified elsewhere,I43
Atrioventricular and left bundle-branch block,I44
"Atrioventricular block, complete",I44.2
"Left bundle-branch block, unspecified",I44.7
Other conduction disorders,I45
Other and unspecified right bundle-branch block,I45.1
Bifascicular block,I45.2
Trifascicular block,I45.3
Nonspecific intraventricular block,I45.4
Other specified heart block,I45.5
Pre-excitation syndrome,I45.6
Other specified conduction disorders,I45.8
"Conduction disorder, unspecified",I45.9
Cardiac arrest,I46
Paroxysmal tachycardia,I47
Atrial fibrillation and flutter,I48
Paroxysmal atrial fibrillation,I48.0
Persistent atrial fibrillation,I48.1
Chronic atrial fibrillation,I48.2
Other cardiac arrhythmias,I49
Atrial premature depolarization,I49.1
Junctional premature depolarization,I49.2
Ventricular premature depolarization,I49.3
Other and unspecified premature depolarization,I49.4
Sick sinus syndrome,I49.5
Other specified cardiac arrhythmias,I49.8
"Cardiac arrhythmia, unspecified",I49.9
Heart failure,I50
Complications and ill-defined descriptions of heart disease,I51
Other heart disorders in diseases classified elsewhere,I52
Nontraumatic subarachnoid hemorrhage,I60
Nontraumatic intracerebral hemorrhage,I61
Other and unspecified nontraumatic intracranial hemorrhage,I62
Nontraumatic extradural hemorrhage,I62.1
"Nontraumatic intracranial hemorrhage, unspecified",I62.9
Cerebral infarction,I63
Stroke,I64
"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",I65
"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",I66
Other cerebrovascular diseases,I67
"Cerebral aneurysm, nonruptured",I67.1
Cerebral atherosclerosis,I67.2
Progressive vascular leukoencephalopathy,I67.3
Hypertensive encephalopathy,I67.4
Moyamoya disease,I67.5
Nonpyogenic thrombosis of intracranial venous system,I67.6
"Cerebral arteritis, not elsewhere classified",I67.7
Other specified cerebrovascular diseases,I67.8
"Cerebrovascular disease, unspecified",I67.9
Cerebrovascular disorders in diseases classified elsewhere,I68
Sequelae of cerebrovascular disease,I69
Atherosclerosis,I70
Aortic aneurysm and dissection,I71
"Abdominal aortic aneurysm, without rupture",I71.4
Other aneurysm,I72
Aneurysm of artery of upper extremity,I72.1
Aneurysm of renal artery,I72.2
Aneurysm of iliac artery,I72.3
Aneurysm of artery of lower extremity,I72.4
Aneurysm of other precerebral arteries,I72.5
Aneurysm of vertebral artery,I72.6
Aneurysm of other specified arteries,I72.8
Aneurysm of unspecified site,I72.9
Other peripheral vascular diseases,I73
Thromboangiitis obliterans [Buerger's disease],I73.1
Other specified peripheral vascular diseases,I73.8
"Peripheral vascular disease, unspecified",I73.9
Arterial embolism and thrombosis,I74
Other disorders of arteries and arterioles,I77
Stricture of artery,I77.1
Rupture of artery,I77.2
Arterial fibromuscular dysplasia,I77.3
Celiac artery compression syndrome,I77.4
Necrosis of artery,I77.5
"Arteritis, unspecified",I77.6
Other arterial dissection,I77.7
Other specified disorders of arteries and arterioles,I77.8
"Disorder of arteries and arterioles, unspecified",I77.9
Diseases of capillaries,I78
"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere",I79
Phlebitis and thrombophlebitis,I80
Portal vein thrombosis,I81
Other venous embolism and thrombosis,I82
Thrombophlebitis migrans,I82.1
Embolism and thrombosis of vena cava and other thoracic veins,I82.2
Embolism and thrombosis of renal vein,I82.3
Acute embolism and thrombosis of deep veins of lower extremity,I82.4
Acute embolism and thrombosis of deep veins of lower extremity,I82.409
Chronic embolism and thrombosis of deep veins of lower extremity,I82.5
Acute embolism and thrombosis of veins of upper extremity,I82.6
Chronic embolism and thrombosis of veins of upper extremity,I82.7
Embolism and thrombosis of other specified veins,I82.8
Embolism and thrombosis of unspecified vein,I82.9
Varicose veins of lower extremities,I83
Esophageal varices,I85
Varicose veins of other sites,I86
Scrotal varices,I86.1
Pelvic varices,I86.2
Vulval varices,I86.3
Gastric varices,I86.4
Varicose veins of other specified sites,I86.8
Other disorders of veins,I87
Compression of vein,I87.1
Venous insufficiency (chronic) (peripheral),I87.2
Chronic venous hypertension (idiopathic),I87.3
Other specified disorders of veins,I87.8
"Disorder of vein, unspecified",I87.9
Nonspecific lymphadenitis,I88
Other noninfective disorders of lymphatic vessels and lymph nodes,I89
Lymphangitis,I89.1
Other specified noninfective disorders of lymphatic vessels and lymph nodes,I89.8
"Noninfective disorder of lymphatic vessels and lymph nodes, unspecified",I89.9
Hypotension,I95
"Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified",I97
Other and unspecified disorders of circulatory system,I99
Other disorder of circulatory system,I99.8
Unspecified disorder of circulatory system,I99.9
Acute nasopharyngitis [common cold],J00
Acute sinusitis,J01
Acute pharyngitis,J02
Acute tonsillitis,J03
Acute laryngitis and tracheitis,J04
Acute obstructive laryngitis [croup] and epiglottitis,J05
Acute epiglottitis,J05.1
Acute upper respiratory infections of multiple and unspecified sites,J06
Acute laryngopharyngitis,J06.0
Influenza due to certain identified influenza viruses,J09
Influenza due to other identified influenza virus,J10
Influenza due to other identified influenza virus with other respiratory manifestations,J10.1
Influenza due to other identified influenza virus with gastrointestinal manifestations,J10.2
Influenza due to other identified influenza virus with other manifestations,J10.8
Influenza due to unidentified influenza virus,J11
"Viral pneumonia, not elsewhere classified",J12
Pneumonia due to Streptococcus pneumoniae,J13
Pneumonia due to Hemophilus influenzae,J14
"Bacterial pneumonia, not elsewhere classified",J15
"Pneumonia due to other infectious organisms, not elsewhere classified",J16
Pneumonia due to other specified infectious organisms,J16.8
Pneumonia in diseases classified elsewhere,J17
"Pneumonia, unspecified organism",J18
Acute bronchitis,J20
Acute bronchiolitis,J21
Unspecified acute lower respiratory infection,J22
Vasomotor and allergic rhinitis,J30
"Chronic rhinitis, nasopharyngitis and pharyngitis",J31
Chronic sinusitis,J32
Nasal polyp,J33
Other and unspecified disorders of nose and nasal sinuses,J34
Cyst and mucocele of nose and nasal sinus,J34.1
Deviated nasal septum,J34.2
Hypertrophy of nasal turbinates,J34.3
Other specified disorders of nose and nasal sinuses,J34.8
Unspecified disorder of nose and nasal sinuses,J34.9
Chronic diseases of tonsils and adenoids,J35
Peritonsillar abscess,J36
Chronic laryngitis and laryngotracheitis,J37
"Diseases of vocal cords and larynx, not elsewhere classified",J38
Other diseases of upper respiratory tract,J39
Other abscess of pharynx,J39.1
Other diseases of pharynx,J39.2
"Upper respiratory tract hypersensitivity reaction, site unspecified",J39.3
Other specified diseases of upper respiratory tract,J39.8
"Disease of upper respiratory tract, unspecified",J39.9
"Bronchitis, not specified as acute or chronic",J40
Simple and mucopurulent chronic bronchitis,J41
Unspecified chronic bronchitis,J42
Emphysema,J43
Other chronic obstructive pulmonary disease,J44
Chronic obstructive pulmonary disease with (acute) exacerbation,J44.1
"Chronic obstructive pulmonary disease, unspecified",J44.9
Asthma,J45
Bronchiectasis,J47
Coalworker's pneumoconiosis,J60
Pneumoconiosis due to asbestos and other mineral fibers,J61
Pneumoconiosis due to dust containing silica,J62
Pneumoconiosis due to other inorganic dusts,J63
Bauxite fibrosis (of lung),J63.1
Berylliosis,J63.2
Graphite fibrosis (of lung),J63.3
Siderosis,J63.4
Stannosis,J63.5
Pneumoconiosis due to other specified inorganic dusts,J63.6
Unspecified pneumoconiosis,J64
Pneumoconiosis associated with tuberculosis,J65
Airway disease due to specific organic dust,J66
Hypersensitivity pneumonitis due to organic dust,J67
"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors",J68
Pneumonitis due to solids and liquids,J69
Respiratory conditions due to other external agents,J70
Chronic and other pulmonary manifestations due to radiation,J70.1
Acute drug-induced interstitial lung disorders,J70.2
Chronic drug-induced interstitial lung disorders,J70.3
"Drug-induced interstitial lung disorders, unspecified",J70.4
Respiratory conditions due to smoke inhalation,J70.5
Respiratory conditions due to other specified external agents,J70.8
Respiratory conditions due to unspecified external agent,J70.9
Acute respiratory distress syndrome,J80
Pulmonary edema,J81
"Pulmonary eosinophilia, not elsewhere classified",J82
Other interstitial pulmonary diseases,J84
Other interstitial pulmonary diseases with fibrosis,J84.1
Lymphoid interstitial pneumonia,J84.2
Other specified interstitial pulmonary diseases,J84.8
"Interstitial pulmonary disease, unspecified",J84.9
Abscess of lung and mediastinum,J85
Pyothorax,J86
"Pleural effusion, not elsewhere classified",J90
Pleural effusion in conditions classified elsewhere,J91
Pleural plaque,J92
Pneumothorax and air leak,J93
Other pleural conditions,J94
Fibrothorax,J94.1
Hemothorax,J94.2
Other specified pleural conditions,J94.8
"Pleural condition, unspecified",J94.9
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",J95
"Respiratory failure, not elsewhere classified",J96
Other respiratory disorders,J98
Pulmonary collapse,J98.1
Interstitial emphysema,J98.2
Compensatory emphysema,J98.3
Other disorders of lung,J98.4
"Diseases of mediastinum, not elsewhere classified",J98.5
Disorders of diaphragm,J98.6
Other specified respiratory disorders,J98.8
"Respiratory disorder, unspecified",J98.9
Respiratory disorders in diseases classified elsewhere,J99
Disorders of tooth development and eruption,K00
Embedded and impacted teeth,K01
Dental caries,K02
Other diseases of hard tissues of teeth,K03
Abrasion of teeth,K03.1
Erosion of teeth,K03.2
Pathological resorption of teeth,K03.3
Hypercementosis,K03.4
Ankylosis of teeth,K03.5
Deposits [accretions] on teeth,K03.6
Posteruptive color changes of dental hard tissues,K03.7
Other specified diseases of hard tissues of teeth,K03.8
"Disease of hard tissues of teeth, unspecified",K03.9
Diseases of pulp and periapical tissues,K04
Gingivitis and periodontal diseases,K05
Other disorders of gingiva and edentulous alveolar ridge,K06
Gingival enlargement,K06.1
Gingival and edentulous alveolar ridge lesions associated with trauma,K06.2
Horizontal alveolar bone loss,K06.3
Other specified disorders of gingiva and edentulous alveolar ridge,K06.8
"Disorder of gingiva and edentulous alveolar ridge, unspecified",K06.9
Other disorders of teeth and supporting structures,K08
Complete loss of teeth,K08.1
Atrophy of edentulous alveolar ridge,K08.2
Retained dental root,K08.3
Partial loss of teeth,K08.4
Unsatisfactory restoration of tooth,K08.5
Other specified disorders of teeth and supporting structures,K08.8
"Disorder of teeth and supporting structures, unspecified",K08.9
"Cysts of oral region, not elsewhere classified",K09
Diseases of salivary glands,K11
Stomatitis and related lesions,K12
Other diseases of lip and oral mucosa,K13
Cheek and lip biting,K13.1
"Leukoplakia and other disturbances of oral epithelium, including tongue",K13.2
Hairy leukoplakia,K13.3
